ID GPS collar,sex_deer,Name ,ORIGINE,Area of study,Lat,Long,Mortality ,time
37979,female,Barbara,Sardinia,North Corsica (Caccia-Ghjunsani),42.49983,9.07655,No,0
38002,male,Roberto,Sardinia,North Corsica (Caccia-Ghjunsani),42.49983,9.07655,Yes,0
37985,female,Sara,Sardinia,North Corsica (Caccia-Ghjunsani),42.49983,9.07655,No,3
37984,male,Dioniggi,Sardinia,Center of Corsica (Centru - Venachese),42.24787,9.16314,No,182
37981,female,Giulia,Sardinia,Center of Corsica (Centru - Venachese),42.24787,9.16314,No,182
39111,male,Lucio,Sardinia,Center of Corsica (Centru - Venachese),42.24787,9.16314,No,182
36215,female,Antonia,Corsica (breeding enclosure of ANIA),Center of Corsica (Centru - Venachese),42.24933,9.16592,Yes,188
36220,female,Aurelia,Corsica (breeding enclosure of ANIA),Center of Corsica (Centru - Venachese),42.24933,9.16592,No,188
36227,male,Lisandru,Corsica (breeding enclosure of ANIA),Center of Corsica (Centru - Venachese),42.24933,9.16592,No,188
39109,female,Mattea,Corsica (breeding enclosure of ANIA),Center of Corsica (Centru - Venachese),42.24933,9.16592,No,188
36218,female,Raphaelle,Corsica (breeding enclosure of ANIA),Center of Corsica (Centru - Venachese),42.24933,9.16592,No,188
36219,female,Romane,Corsica (breeding enclosure of ANIA),Center of Corsica (Centru - Venachese),42.24933,9.16592,No,188
36216,female,Victoria,Corsica (breeding enclosure of ANIA),Center of Corsica (Centru - Venachese),42.24933,9.16592,No,188
37983,female,Sabrina,Sardinia,Center of Corsica (Centru - Venachese),42.24787,9.16314,No,190
36217,female,Vanina,Corsica (breeding enclosure of ANIA),Center of Corsica (Centru - Venachese),42.24933,9.16592,No,191
39120,female,Cavallara,Corsica (breeding enclosure of CASABIANDA),South of Corsica (Alta Rocca - Altu Taravu),41.88473,9.22153,No,214
39119,female,Chisaccia,Corsica (breeding enclosure of CASABIANDA),South of Corsica (Alta Rocca - Altu Taravu),41.88473,9.22153,No,214
39117,female,Lama,Corsica (breeding enclosure of CASABIANDA),South of Corsica (Alta Rocca - Altu Taravu),41.88473,9.22153,No,214
39115,female,Latonaccia,Corsica (breeding enclosure of CASABIANDA),South of Corsica (Alta Rocca - Altu Taravu),41.88473,9.22153,No,214
39113,female,Luvana,Corsica (breeding enclosure of CASABIANDA),South of Corsica (Alta Rocca - Altu Taravu),41.88473,9.22153,No,214
36228,male,Petru,Corsica (breeding enclosure of CASABIANDA),South of Corsica (Alta Rocca - Altu Taravu),41.88473,9.22153,No,214
39114,female,Sapara,Corsica (breeding enclosure of CASABIANDA),South of Corsica (Alta Rocca - Altu Taravu),41.88473,9.22153,No,214
39112,female,Violetta,Corsica (breeding enclosure of CASABIANDA),South of Corsica (Alta Rocca - Altu Taravu),41.88473,9.22153,No,214
39121,female,Lia,Corsica (captured in natura),Center of Corsica (Centru - Venachese),42.26662,9.17083,No,1598
39118,female,Stella,Corsica (captured in natura),Center of Corsica (Centru - Venachese),42.26662,9.17083,No,2176
39116,male,Banditu,Corsica (captured in natura),North Corsica (Caccia-Ghjunsani),42.47735,9.18355,No,2426
